timestamp,BatteryVoltage,Amperage,Temperature,elevatorDesiredPosition,elePosition,eleVelo,eDesiredVelo,batteryname
0.1,11.3,40.0,55.1,-288,787,4629,-4526,category1
0.2,1.0,40.0,2.5,628,-635,-5525,456,category1
0.30000000000000004,12.7,48.6,94.6,241,-42,449,-435,category1
0.4,4.3,76.9,24.6,120,511,-2863,-810,category1
0.5,1.4,1.5,35.2,-293,294,-2983,308,category1
0.6000000000000001,7.8,77.1,13.5,-49,-6,1488,-401,category1
0.7000000000000001,12.0,59.3,54.3,-170,356,4159,3231,category1
0.8,7.6,67.4,98.8,338,-21,-724,-694,category1
0.9,1.9,50.5,26.6,310,867,3946,-4733,category1
1.0,0.5,59.2,76.2,471,-454,4198,5027,category1
1.1,11.7,53.7,17.0,612,-48,-67,-2970,category1
1.2000000000000002,6.5,68.7,31.9,-791,89,1659,3192,category1
1.3,3.2,35.9,35.1,-655,892,-4424,-1099,category1
1.4000000000000001,2.7,65.4,85.7,19,845,-3905,-1411,category1
1.5,8.8,36.2,83.4,595,481,-386,3222,category1
1.6,1.3,68.4,76.4,176,-617,1587,-494,category1
1.7000000000000002,1.3,46.7,36.7,189,846,-5799,1042,category1
1.8,8.7,67.6,51.4,896,-541,4841,4623,category1
1.9000000000000001,8.3,32.4,95.9,-658,818,5099,-1504,category1
2.0,11.5,76.4,55.1,-330,856,-1632,3997,category1
2.1,0.4,33.5,90.2,-297,652,102,392,category1
2.2,1.1,16.3,35.7,-193,-632,-4543,-5871,category1
2.3000000000000003,7.0,23.7,75.4,175,725,-411,307,category1
2.4000000000000004,1.4,67.2,64.6,-868,-670,-5962,2624,category1
2.5,4.9,74.6,2.7,-724,-352,3031,5304,category1
2.6,5.3,60.4,69.2,559,651,-4052,1091,category1
2.7,11.7,67.4,24.7,-119,605,-1479,4139,category1
2.8000000000000003,12.3,21.4,51.5,-717,-39,-2158,-3602,category1
2.9000000000000004,9.9,19.9,83.7,769,-184,3892,-2503,category1
3.0,3.2,51.7,26.6,853,525,-5222,-622,category1
3.1,12.7,40.2,95.4,-610,-377,-3546,2205,category1
3.2,0.9,43.2,78.2,-818,756,-4507,2335,category1
3.3000000000000003,11.3,68.9,41.4,-470,-243,-3923,-1394,category1
3.4000000000000004,10.1,47.9,61.3,-160,759,-4592,-3331,category1
3.5,3.2,60.6,26.2,85,-859,-1689,-3765,category1
3.6,4.9,60.6,15.2,430,422,1952,1372,category1
3.7,5.8,75.9,39.5,-743,616,-433,-800,category1
3.8000000000000003,2.9,74.1,11.8,838,-645,899,883,category1
3.9000000000000004,4.6,18.3,94.4,-729,-534,-3204,-4931,category1
4.0,2.8,7.3,70.1,466,-19,2877,-3282,category1
4.1000000000000005,7.8,27.8,74.2,-670,428,-611,-4947,category1
4.2,4.1,15.7,32.6,796,534,523,737,category1
4.3,1.0,52.3,10.9,-40,-538,-4154,206,category1
4.4,1.8,21.7,61.8,383,-852,3179,-92,category1
4.5,0.4,27.0,27.9,790,-774,-1415,-4678,category1
4.6000000000000005,5.3,50.8,4.1,410,-578,-717,-1930,category1
4.7,3.1,36.1,91.2,-481,-204,-805,409,category1
4.800000000000001,12.9,16.4,51.5,521,425,-327,213,category1
4.9,8.4,8.6,77.3,-502,875,-3012,-4447,category1
5.0,11.0,32.7,21.3,307,320,-5507,2191,category1
5.1000000000000005,4.0,67.3,20.6,136,-16,2909,2176,category1
5.2,10.1,14.6,93.9,216,-729,-3656,-3625,category1
5.300000000000001,11.1,12.6,57.5,312,367,2425,3598,category1
5.4,1.0,45.1,1.5,733,655,5045,5232,category1
5.5,10.9,24.1,45.7,-292,-697,3518,5789,category1
5.6000000000000005,0.9,73.5,1.3,-127,821,-4287,5180,category1
5.7,12.0,33.8,94.6,518,176,598,-4751,category1
5.800000000000001,10.1,45.4,87.2,864,-492,-2706,-4408,category1
5.9,4.9,31.5,56.5,-188,-789,-5617,-1764,category1
6.0,3.8,44.0,69.5,443,-527,-3546,670,category1
6.1000000000000005,11.7,31.0,55.0,547,-359,4898,4998,category1
6.2,10.5,19.1,63.1,666,-495,-2090,-5841,category1
6.300000000000001,6.1,15.8,41.9,295,516,-1147,-4088,category1
6.4,5.5,61.6,60.2,100,616,-4587,-3856,category1
6.5,9.7,63.0,7.9,698,267,-5882,-4876,category1
6.6000000000000005,8.4,77.2,80.9,-421,-533,-4595,-1177,category1
6.7,6.7,76.5,17.3,329,-172,5866,135,category1
6.800000000000001,6.0,33.0,67.6,-114,307,924,3250,category1
6.9,9.2,61.2,71.1,-369,227,5526,-864,category1
7.0,4.2,67.1,81.3,-787,-677,4933,5728,category1
7.1000000000000005,0.7,62.4,36.8,-816,380,-3067,-2042,category1
7.2,8.5,48.2,98.5,-529,-820,4388,-5648,category1
7.300000000000001,12.6,41.0,65.7,-174,-602,-4531,-4123,category1
7.4,8.9,79.0,56.8,10,-98,-5690,-715,category1
7.5,3.1,4.1,37.2,796,-341,-5793,-3191,category1
7.6000000000000005,2.4,40.3,45.3,256,-368,-2178,-2154,category1
7.7,11.0,29.1,32.5,-276,653,226,3507,category1
7.800000000000001,11.2,79.9,73.8,-165,-340,1424,4161,category1
7.9,2.2,65.5,11.2,750,-434,4982,-5585,category1
8.0,2.8,70.7,8.8,285,128,3780,-5755,category1
8.1,12.0,6.4,0.8,-900,-590,1019,-3338,category1
8.200000000000001,7.4,23.6,83.7,-823,107,1730,5415,category1
8.3,7.7,64.2,17.1,229,-537,-4578,-764,category1
8.4,6.6,30.5,85.3,-65,-574,-3495,-1391,category1
8.5,4.4,19.4,49.3,-207,-51,-3622,-641,category1
8.6,7.7,73.2,53.2,374,-209,-5480,-3839,category1
