timestamp,BatteryVoltage,Amperage,Temperature,elevatorDesiredPosition,elePosition,eleVelo,eDesiredVelo,shoulderPosition,shoulderDesiredPosition,batteryname
0.1,10.7,24.1,9.5,-405,690,-1752,-1074,-448,810,category1
0.2,10.7,60.6,40.0,-420,-107,-5315,4270,862,64,category1
0.30000000000000004,1.7,65.4,55.5,764,-379,-5704,-4937,-176,-401,category1
0.4,9.7,58.9,27.7,334,-125,2123,1230,-386,-440,category1
0.5,3.9,21.8,6.5,856,-433,48,4914,-422,-547,category1
0.6000000000000001,1.9,61.0,85.0,-125,404,-5742,5906,-776,147,category1
0.7000000000000001,7.6,32.7,8.7,-312,332,-3502,-976,282,-241,category1
0.8,7.7,28.3,12.5,225,140,2431,-1540,702,-24,category1
0.9,12.3,10.6,95.0,-723,-30,-4343,-3881,343,-599,category1
1.0,9.4,44.6,94.5,3,670,-4796,-2508,745,232,category1
1.1,3.2,39.7,94.6,-780,740,-5513,4874,198,386,category1
1.2000000000000002,12.6,77.2,89.5,-531,517,5297,-444,-805,-146,category1
1.3,7.6,37.3,70.4,-656,647,-5820,-5113,-198,305,category1
1.4000000000000001,2.8,5.7,40.0,118,133,-220,-5472,-378,-522,category1
1.5,12.7,11.0,16.5,-322,558,540,-3321,-719,360,category1
1.6,12.4,76.7,87.8,331,64,3615,4621,-688,-183,category1
1.7000000000000002,3.7,17.0,74.1,-328,208,2886,2208,-374,-376,category1
1.8,9.2,63.4,2.0,258,31,-2244,1680,-350,244,category1
1.9000000000000001,10.2,31.7,29.5,140,-135,-60,-2612,565,428,category1
2.0,10.0,8.0,9.1,-838,-654,3402,-858,242,-897,category1
2.1,2.0,43.7,56.8,647,872,4439,4337,65,-764,category1
2.2,2.2,64.3,72.0,722,92,1831,3621,-224,347,category1
2.3000000000000003,5.0,52.5,0.9,-799,-713,-4134,2606,240,-651,category1
2.4000000000000004,12.8,37.9,0.6,219,488,-2420,-793,-405,606,category1
2.5,10.2,58.3,75.8,824,727,5588,4722,122,877,category1
2.6,12.2,39.5,55.4,-257,-141,1053,533,774,70,category1
2.7,8.2,23.2,54.8,-721,-552,-5711,-2894,490,516,category1
2.8000000000000003,4.5,60.3,63.3,-208,-130,-5928,-638,39,522,category1
2.9000000000000004,6.9,47.2,59.0,-429,874,3223,3765,-89,143,category1
3.0,12.9,70.9,24.7,681,-194,-1017,-3110,46,85,category1
3.1,3.5,21.2,43.4,290,-345,-5957,-5725,-143,892,category1
3.2,1.1,29.1,63.5,551,693,-1081,2309,-373,826,category1
3.3000000000000003,1.0,5.1,60.6,106,-541,-96,4696,169,-648,category1
3.4000000000000004,5.9,9.7,58.7,-898,156,5603,-5505,99,584,category1
3.5,4.5,52.4,50.8,-141,-761,-1665,-1225,-844,552,category1
3.6,3.8,57.0,54.6,-772,626,3281,-3560,-454,-281,category1
3.7,0.4,33.4,38.0,672,-223,-3813,-5526,49,826,category1
3.8000000000000003,3.4,46.5,17.2,122,674,-5135,5491,841,-310,category1
3.9000000000000004,6.5,57.1,78.3,304,641,-4817,-875,-761,-232,category1
4.0,3.2,31.2,88.8,878,556,-5819,2768,-499,-211,category1
4.1000000000000005,1.8,8.1,33.9,532,636,-2263,-243,-613,326,category1
4.2,5.0,22.0,53.1,510,871,5436,-2596,586,-204,category1
4.3,8.7,35.8,99.2,-632,-246,896,2079,258,475,category1
4.4,6.8,77.8,7.7,-489,147,-669,5052,883,-399,category1
4.5,10.9,54.2,51.6,-108,338,321,-1357,-412,662,category1
4.6000000000000005,5.1,60.7,38.7,-692,-844,-1539,-5215,174,235,category1
4.7,6.7,43.6,5.4,-230,98,2618,4407,837,337,category1
4.800000000000001,6.7,57.7,7.7,13,-232,3716,3962,321,374,category1
4.9,5.2,6.2,90.8,-628,-607,-2850,5205,-371,-801,category1
5.0,0.1,5.2,48.5,-352,-848,-2674,691,-138,546,category1
5.1000000000000005,3.1,53.0,95.4,133,801,-936,4756,839,-641,category1
5.2,12.6,56.4,7.0,-595,-32,-1995,1247,595,-712,category1
5.300000000000001,7.4,10.8,8.6,-570,-204,1737,-4156,-201,-158,category1
5.4,5.5,76.2,12.5,-478,-704,1343,-1549,552,-243,category1
5.5,4.9,49.9,62.8,669,861,5767,3783,-809,497,category1
5.6000000000000005,12.9,49.7,20.3,211,-271,645,5228,335,494,category1
5.7,0.9,51.4,1.3,-880,-45,-1184,-608,-111,-838,category1
5.800000000000001,5.7,70.2,5.9,-465,3,2803,-269,369,741,category1
5.9,7.5,2.6,63.9,-591,670,762,5440,834,596,category1
6.0,7.4,41.2,6.4,43,-248,5597,2729,-118,744,category1
6.1000000000000005,11.7,79.0,45.7,-756,646,-5759,4621,623,-769,category1
6.2,1.9,42.6,30.4,554,781,3555,-3177,372,-488,category1
